2025-01-28 04:24:05 status half-installed libsemanage2:arm64 3.5-1build5
2025-01-28 04:24:05 status unpacked libsemanage2:arm64 3.5-1build5
2025-01-28 04:24:05 install libsepol2:arm64 <none> 3.5-2build1
2025-01-28 04:24:05 status half-installed libsepol2:arm64 3.5-2build1
2025-01-28 04:24:06 status unpacked libsepol2:arm64 3.5-2build1
2025-01-28 04:24:06 install libsmartcols1:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:24:06 status half-installed libsmartcols1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:06 status unpacked libsmartcols1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:06 install libss2:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:06 status half-installed libss2:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:06 status unpacked libss2:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:06 install libssl3t64:arm64 <none> 3.0.13-0ubuntu3
2025-01-28 04:24:06 status half-installed libssl3t64:arm64 3.0.13-0ubuntu3
2025-01-28 04:24:06 status unpacked libssl3t64:arm64 3.0.13-0ubuntu3
2025-01-28 04:24:07 install libsystemd0:arm64 <none> 255.4-1ubuntu8
2025-01-28 04:24:07 status half-installed libsystemd0:arm64 255.4-1ubuntu8
2025-01-28 04:24:07 status unpacked libsystemd0:arm64 255.4-1ubuntu8
2025-01-28 04:24:07 install libtinfo6:arm64 <none> 6.4+20240113-1ubuntu2
2025-01-28 04:24:07 status half-installed libtinfo6:arm64 6.4+20240113-1ubuntu2
2025-01-28 04:24:07 status unpacked libtinfo6:arm64 6.4+20240113-1ubuntu2
2025-01-28 04:24:07 install libudev1:arm64 <none> 255.4-1ubuntu8
2025-01-28 04:24:07 status half-installed libudev1:arm64 255.4-1ubuntu8
2025-01-28 04:24:07 status unpacked libudev1:arm64 255.4-1ubuntu8
2025-01-28 04:24:07 install libuuid1:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:24:07 status half-installed libuuid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:08 status unpacked libuuid1:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:08 install libzstd1:arm64 <none> 1.5.5+dfsg2-2build1
2025-01-28 04:24:08 status half-installed libzstd1:arm64 1.5.5+dfsg2-2build1
2025-01-28 04:24:08 status unpacked libzstd1:arm64 1.5.5+dfsg2-2build1
2025-01-28 04:24:08 install login:arm64 <none> 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:08 status half-installed login:arm64 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:08 status unpacked login:arm64 1:4.13+dfsg1-4ubuntu3
2025-01-28 04:24:09 install logsave:arm64 <none> 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:09 status half-installed logsave:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:09 status unpacked logsave:arm64 1.47.0-2.4~exp1ubuntu4
2025-01-28 04:24:09 upgrade mawk:arm64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2025-01-28 04:24:09 status half-configured mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:09 status unpacked mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:09 status half-installed mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:09 status unpacked mawk:arm64 1.3.4.20240123-1build1
2025-01-28 04:24:09 install mount:arm64 <none> 2.39.3-9ubuntu6
2025-01-28 04:24:09 status half-installed mount:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:09 status unpacked mount:arm64 2.39.3-9ubuntu6
2025-01-28 04:24:09 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2025-01-28 04:24:09 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2025-01-28 04:24:10 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2025-01-28 04:24:10 install ncurses-bin:arm64 <none> 6.4+20240113-1ubuntu2
2025-01-28 04:24:10 status half-installed ncurses-bin:arm64 6.4+20240113-1ubuntu2
2025-01-28 04:24:10 status unpacked ncurses-bin:arm64 6.4+20240113-1ubuntu2
